text,reason,label
the app is very good and the call quality is extremely good.,good app for conducting calls,1
it does not support much 3g network,want to use 3g network,1
but i can not join my imported class,want to join imported class,1
registration was very rarify for me,unable to join,0
(iphone eighter from Decatur) is utterly incapable of connecting to any calls.,want to use phone,0
will not let me sign up.,want to sign up,1
"also, no video quality adjustment is performed.",joining classes is time consuming,0
zoom is so slow please tune it up please!,zoom is slow,1
great way to connect!,want to sign up for the program,0
you have to uninstall it all the time because it just does non connect.,want to record zoom without seeing the participants,0
"the question is why i can not save a list of meetings i can connect to on the main screen, with the ability to name this meeting.",want to save meeting lists,1
just add a playback speed option,chat button is under hidden menu,0
the mobile app is good but windows is totally bad.,windows app is bad,1
but today zoom cloud is nothing support properly so i am rating 2 ..,zoom cloud is not supported properly,1
I have been having a lot of problems lately with hulu.,ratings are getting down,0
"absolutely slurred application, Hoosier State the interface of which the devil will break a leg",want to login with phone,0
it is easy to use without having to memorize how to use kuji.,easy to use without having to memorize kuji,1
"just one issue, high data consumption",data consumption is high,1
multiple code authorize can not be entered.,want to turn on sound and camera,0
"the application does not have the option of my language, the catalan.",want to remove host/teacher,0
this is not a best because i can not sign up in the zoom app isliye main ise 2,want to share ppt on phone,0
(learn from the netflix interface),netflix ui is better,1
"i can not change the avatar, I have already reinstalled it and went in another way, i can not change the avatar in any way, i chose the photo and clicked save and not what.",want to change avatar,1
i love the fact that ads do not pop up it is in use,good for groups,0
wherefore is there no background settings on mechanical man?,want to hear audio and meeting gets disconnected,0
"the sound is rattling, and echo happens.",want to use background and filters for android,0
but i can not pick profile.,want to select profile,1
this app is good but it glitches a lot please improve,app has glitches,1
it sucks that android users can not upload backgrounds,want to remove background,0
"when i want to change the volume, the system bar changes without affecting zoom.",system bar changes without affecting zoom,1
video quality could be better.,image quality needs improvement,0
fix the blur feature.,unable to install on tv,0
"on the smartphone there is no way to configure it to brighten the camera, the video is very dark, the settings on the phone are very limited, in the end i only use it, because there is still no other feature, but when it does not improve, i will uninstall it",want to change settings,1
perfect for educational purposes only. .,educational uses only,1
and there is making it impossible i need my account to cancelled as soon as possible,want to cancel account,1
"when you do screen sharing, it constantly out of zoom.",app takes too long to login,0
"keeping track of which episode one is on in a series is impossible because ""watched episodes"" do not work as it should.",unable to keep track of episodes,1
"""you are not eligible to up for zoom at this time""",want to keep tabs on recurrent meetings,0
can you please add background and video filter option to ipad air,want to add background and filter option to ipad,1
I have never gain access to zoom cloud before before.,want to access zoom cloud,1
it is a with that you can not change and delete your MSc in the chat,want to listen to the conference,0
easy to navigate through,easy to navigate,1
can not register for 3 devices,unable to use full screen,0
not being able to join meetings on time because of the glitches,good for virtual meetings,0
network speed is sharp but zoom app is slower.,want to go back after clicking on effects section,0
can not sign in to company domain anymore after update,want to login to company domain,1
file transfer in chat is unfortunately not possible.,want to toggle small video box on/off,0
students are removed by host because the video get stopped and zoom take lots of internet and speed gets low due to that,students are removed by host,1
will not connect to my outlook contact addresses which is a pain.,want to connect to outlook email,1
my audio is not working please fix this problem,sound stopped working,1
i butt not leave the class finish,easy to open and start,0
"(it goes off the air or completely throws it out of the application) - the screen splitting does not work correctly, so it is impossible to connect sound operation with the application is carried out on a samsung tab s7 tablet with keyboard connection support.",screen splitting does not work correctly,1
"exits the update, and it does non install.",app distorts sound and picture,0
please enable virtual background in redmi note 9 as a host and participant and then i am giving 5 star for this app,enable virtual background in redmi note 9,1
"every first time it catches the upgrade, just the upgrade act work.",downloading the app is time consuming,0
you can not select episodes.,want to watch the games,0
the audio is cut off.,want to use zoom on cell phone,0
I am going into zoom you background to open my exam and my camera switches off automatically.,camera switches off automatically,1
"the app was running perfectly until recently, but recently I am always getting error code 39.",facing error 39 issue while using the app,1
unable to enter the year of birth.,video resolution is low,0
while get in touch or more people connection frequency is to slow.,chat button is under hidden menu,0
it is ridiculous to pay for something you do not want to use anymore.,unable to access the home page,0
hotstar is not working along my television.,unable to play downloaded video,0
the presenting is very much delayed,want to hold a fight,0
"i do not know how to put the filters, nor do i know how to put the photos in the entrance when you turn off your camera.",want to apply filters and put the photos in entrance,1
please remove waiting room,want to remove waiting room,1
best wishes for more creativity to the team of developers.,good for creativity,1
why hotstar is not working?,unable to watch on hotstar,1
my zoom cloud meeting is not download,want to download zoom cloud meeting,1
please improve the quality of the upload profile photo.,want to transmit mirror screen,0
but when the internet is a little slow it takes a recollective time,want to contact technical support,0
many ads and not still a single one of have Associate in Nursing option to skip it and most of the ads are so long it becomes irritating to even open this app,want to create breakout rooms,0
add an option to edit the subtitles please,want to modify subtitles,1
waste app i can not connect to my school,want to connect to school,1
the app testament non list the episodes ever since the update.,video loading time is slow and video quality is bad,0
can not restore the information,easy to use for adults or kids,0
the application throws me tabu of my class every now and then,want to adjust sound,0
needs more options and drop the pass boxes,want to drop pass boxes,1
the volume control is non working.,want to turn off intergrated calls,0
"add the function please lock the microphone, not just mute.",want to lock the microphone,1
very good user interface and experience.,user interface is good,1
no option for chating,want to get chat option,1
the nexus could not be written.,want dutch language support,0
the application is constantly hanging,app freezes frequently,1
i love to see smiling faces and continue building relationships through zoom!,good for building relations through zoom,1
not able to receive virtual birdsong with physician part without connection issues!,desktop version update is not good,0
this app keeps closing down,app keeps auto closing,1
"you need to have more options on your phone, such as creating and managing simultaneous rooms.",want to have more options on phone,1
disappointed with the mobile version.,want to disable auto rotate feature,0
"it is been 2 days, why is the surge not working?",want to update,0
i have a samsung galaxy s22 ultra and the app freezes as soon as i log in.,app freezes frequently during login,1
zoom is comparatively good in terms of ui and features.,app has good features,1
it is necessary to open live videos,want to use email,0
love the app as i get to keep up with all sports events,good for sports,1
updating app gone wrong.,iphone 5 needs virtual background,0
the game lags a lot and the graphics are bad,want to hear audio without switching on microphone,0
can not in waiting room..,subtitles go off the screen,0
quality portuguese are missing!,app crashes every 10 minutes,0
zoom is not convenient to do lessons in the distance vatsap better than zoom there,zoom is not convenient,1
multiple windows are opened when you go into the breakout and audio stops working..,multiple windows are opened when you go into the breakout and audio stops working,1
waste of time it does not even let you scan the code when you have code!,want to scan code,1
not able to join any foregather smoothly every minute my zoom disconnects and demo error,unable to use on moto g20,0
screen sharing quality is the best in the indsutry,facial recognition is good,0
please loosen or lower the age limit for zoom,want to lower age limit,1
"terrible gameplay, bad graphics, bad characters, this game is bad",quality of game is bad,1
"every time i open the app, it is stuck",app keeps getting stuck,1
I have been having a lot of problems recently with hulu.,facing frequent issues with hulu,1
i love this app because you can connect meetings and take care of other things,good for connecting to meetings,1
very lag not able to do classes or merging,mobile version does not allow document format files,0
very bad quality of arrangement and i gave only one star because to improve the quality of this aap..,want to share screen on mobile,0
i only used it amp cpl times yet my saved passcodes do not work.,want to switch account and sign in,0
cannot share ppt on my phone.,unable to put background on android phone,0
suitable for family and class assemblage,uninstalling the application did not fix anything,0
you do not have the possibility to add a wallpaper to the free version,want to add wallpaper to free version,1
let us just admit that skype is better.,skype is better,1
"after the update, one can non watch movies",internet lags when there is a conference,0
streaming very poor.,want to enter conference link,0
but i try to create an account,want to create an account,1
"since i update it, it will not let me enter the app",unable to login since the update,1
it very easy to login,android version is not supported,0
dolby atmos does not work on firetv.,unable to use dolby atmos,1
"screen share quality is horrible, 40p at the very most.",want to schedule a meeting through mobile and facing audio issues,0
i hear that my zoom has closed unexpectedly.,zoom is closed unexpectedly,1
streaming functionality is awful.,educational uses only,0
the app starts downloading again plus it equal too heavy,unable to load movies,0
i not enter maximum people,unable to play video on android,0
i do not know how to cancel the service and the payment becomes automatic,want to cancel subscription,1
"the payment portal is excruciating slow, confusing, and unintuitive.",payment is slow,1
because of this you can not hear the voice.,want to hear voice,1
unable to update/install for last 2 days.,want to sync audio with video,0
but can not get the tune of the anthem..,want to focus on breakout,0
should add nx features with wallpaper such as wallpaper replacement,want wallpaper replacement feature,1
and i sustain tried to uninstall and reinstall,want to have more options on phone,0
i like this app but remove the extra ads,want to remove ads,1
i some how lost the audio and video.,lost audio and video,1
unable to fix error 1132 on ipad,want to fix error 1132 on ipad,1
you do not have the possibility to add a wallpaper to the free variant,app is not working after latest update,0
please improve the quality of the uploaded profile photo.,want to improve quality of profile image,1
how do i post my profile picture with my ipad 9th gen,want to upload profile picture on ipad,1
though the subscription is quite pricey,subscription plans are expensive,1
"the question is why i can not save a list of meetings i can connect to on the briny screen, with the power to name this meeting.",app keeps sending error codes and requiring constant updates,0
and i can not download from google because it can be risky.,want to download from google,1
i want to be able to change the position of the camera box when zooming with a tablet or phone.,want to change position of camera box when zooming,1
birthdate information will not load.,birthdate information will not load,1
- chitchat function is difficult to switch between group reply and personal chats -- i have seen many inadvertent chats,want to login to company domain,0
why can not i make use of a whiteboard.,want to use whiteboard,1
excellent app the connection is very stable,app has good connection,1
"and for ipad, you canful not signaling in with apple",want to enable co-host,0
"you either have sound, microphone, or camera will refuse to turn on.",want to turn on sound and camera,1
"unfortunately, zoom simply does not work with humanoid auto, and hence is complete scrap.",want to use pip mode,0
the audio calibre constitute better.,want to register,0
zoom would not let me connect,want to contact in settings,0
but when i opne zoom speed becomes 20kb,platform has poor quality of content,0
no virtual images coming after updating the app,want to view virtual images after updating the app,1
this app is not installed in my playstore,want to find app on playstore,1
the upper and lower taskbar can not be removed.,want to remove taskbar,1
in iphone it ALIR better battery performance..!!,unable to offline videos without internet,0
can not even scan / write messages simultaneously.,code did not pass,0
"it does not load all the episodes like its supposed to .it was working perfectly a week ago, but after the update it messed it up badly.",unable to see past episodes after update,1
can not control the iris with adenine samsung pill,customer service is bad,0
best app for watching cricekt,want to record audio,0
very helpful in conveying material,good for conveying material,1
very bad app i can not even sign in,unable to sign up,1
"the app is good because i can watch a lot of movies, series, whenever i want",good for watching movies and serials,1
but whenever i join the meeting and then if i want to go to other app then host voice is completely inaudible and after 2-3min it disconnected..,unable to use espn+ without subscribing to cable provider,0
very bad the graphics are terrible and it is very to get the currency of the game and its matchmaking is very bad apart from it,want to share link,0
the application crashes frequently.,app crashes frequently,1
this app is good to watch highlight matches,good for watching highlights,1
wherefore constitute this app not responding on my device,good for watching highlights,0
and i do not know how to navigate the app.,ability to use zoom on mobile and tablet,0
as far as top but breakout rooms are missing.,installing a backdrop is difficult,0
and i do not know how to navigate the app.,want to navigate the app,1
net lags when there is a conference,getting error code frequently,0
i do not understand why the simple function of allowing us to change our status on the mobile app is not an option.,want to change status on mobile,1
do not use background in video,do not use background in video,1
the app hangs up every time you start it.,app hangs up automatically,1
such a bad app for childrens,app is bad for children,1
getting too many notifications.,getting too many notifications,1
will not download from the appstore,want to download the app from google play store,1
I have deleted and re-download the app twice and now i can not even log in.,unable to login even after reinstalling the app,1
the app automatically off updating after getting to a 93%,use zoom to watch school activities,0
"also, for the life of me, can not seem to find a way to add different backgrounds.",want to install update,0
excellent online means of communication.,app is good for watching live streaming,0
very poor organization of map.,upgrade does not work,0
it use up high speed network.very bad app,want to enter the year of birth,0
sometimes i want to be anonymous in a meeting -every time i go to blue-pencil my name and put adenine new name in next time i go into zoom,unable to register in zoom,0
i can not find the background settings when i update it,want to find background settings,1
terrible application management can not go to the lesson,volume is too low,0
love the video sharing experience,good for video sharing,1
i can not use it because it says it is not available in certain regions,unable to use in certain regions,1
lag in audio or distortion piece someone is myself or someone is speaking.,facing network connecting issues after updating the app,0
how can we cancel emoji package download?,best quality from all streaming platforms,0
there is the ability to switch from computer to phone.,want to switch between computer and phone,1
the app crashes frequently.,want to apply filters and put the photos in entrance,0
the zoom app always dissapear when ever i run it in background.,zoom app is not working in background,1
i have a galaxy s8 and this will not work.,unable to use on galaxy devices,1
why pay thsuly much when you can not watch what you have paid for?,problem persists after reinstalling app,0
does not have some obvious features like auto switch between devices.,want to auto switch between devices,1
do not pin videos when someone is sharing the screen (can not pin anyone while someone is sharing screen),want to pin video when sharing screen,1
the app crashes every 10 minutes.,app crashes every 10 minutes,1
"the quality of the meetings, both and image, are serious.",good remote control app,0
this is one of the worst app i have ever seen mainly because of promoting fake shows like biggboss malayalam.,content is bad due to bigboss malyalam program,1
i just keep getting error codes.,getting error code frequently,1
i can not zoom back to my phone,video keeps stuttering,0
i can not the loading screen.,want to connect to people,0
please remove the watermarks across everyone is video.,want to remove watermarks,1
"i can not get through the registry, what is the glitch?",want to access registry,1
"ask zoom for 3-4 people, just we can not substiuttion cards",want to find profile picture,0
i possess not been able to log in from my cubicle phone for some time.,unable to use picture in picture mode,0
ii.- ability to know how many citizenry are listening the foreign language.,want to hear audio on headset,0
i can not turn on the camera,want to turn on camera,1
i need it to be faster to download the application x procedures that i have to do,want the app to be faster,1
i tried repeatedly pressing the join audio button and nothing worked.,want to add blur option,0
it aid me a lot with regards to my spiritual demand.,app is user-friendly,0
it is nice and good but am having some network issues with this app,facing network issues with app,1
but i can not watch it on my lg tv.,unable to play video on tv,1
but we cannot add axerophthol people on chat lsit using phone number,want turkish language support,0
should not there be an upgrade to pro button hanging around somewhere?,disney plus is bad,0
"i am not able to join audio on pc with my phone , india is not showing in drop down pathetic and even the zoom support is not helping",want to record audio on pc,1
very bad highly data usage,data usage is bad,1
i stopped working because of an error 83,want to add subtitles option,0
no longer compatible with my device for some reason.,facing compatibility issues with the app,1
"in addition, the subtitles are as well small, and the size of the subtitles cannot be change when running on a mobile device, which is very difficult to use.",want camera and microphone option to be further,0
you can not put backgrounds or filters on phones and tablets.,want to put filters on phones and tablets,1
"just one issue, high data consumption",want to record audio and video,0
there are no spider-man movies,want spiderman movies,1
"this app is creating fuss after the update as one control the features such as mic along or , or off after screen sharing starts.",want to play because cell is locked,0
:can you just add some more of backgrounds similar:,want to update/install,0
identical good noise cancellation,want to activate airplay and screen mirroring devices,0
a very helpful and tasteful application in business and private life,good for school and work,0
"if ace close and reopen the app , it keeps buffering persistently .",want to watch movies,0
unity forget my password and tried to set new password via email,app performance needs improvement,0
subtitles go off the screen.,disney+ is cheaper than netflix,0
how to change the language?,want to change the language,1
pls teach me how to change pfp on zoom,want to change zoom pfp,1
good reception and good image quality,good reception and good image quality,1
how do i setup a new group for a meeting?,want to setup a new group,1
of course you need to connect to google,want to connect to google,1
why can not 1 register with iphone 7,group members change places,0
i can not put my phone number,want to verify phone number,1
may i ask how to send pictures in messenges?,want to send pictures in messages,1
the app is not working at all.in my oneplus 6,unable to use picture in picture mode,0
how to get zoom pro ?,want to update to zoom pro plan,1
"overall, controls become more complex and difficult",controls become more complex,1
i can not update this app,unable to update app,1
"i have online classes and since a few days, this app is not working properly.",want to attend online lessons,1
"*the card automatically withdraws money, do not connect to a professional plan or business",card is not connected to professional plan,1
why can not i sign up for the program!,want to sign up for the program,1
it is cheaper than cable or satellite.,sound quality is poor,0
"although i wrote the conference number and the code correctly (which was sent over hundreds of networks), but it writes the wrong code.",receiving incorrect conference code message even after entering the correct code,1
movies do not load.,want to drag and drop meeting controls,0
host video not available,app is not working on iphone,0
"terrible application does not let me play in cooperative mode and the cards in my embellish do not appear entirely correct or in the order in which i added them, the only soundly thing is that i will not have without problems although sometimes it takes my account, the ded has arrived",zoom is not convenient,0
i am wondering how i change my email address .,want to change email address,1
"the worst video calling app, lags badly everytime share screening, even with a powerful machine, any other application opened in the background that app starrs lagging badly.",video calling app is bad,1
iodine try out all the troubleshooting tips to no avail.,want indian flag in emoji section,0
does not swing even if there is 1gb of space,does not swing even if there is 1gb of space,1
but whenever i join the meeting and then if i want to go to other app then host voice is completely inaudible and after 2-3min it disconnected..,want to hear audio and meeting gets disconnected,1
i can not download whatever movies .,want to remove taskbar,0
i could not watch my favourite serials.,internet lags when there is a conference,0
but it no longer works with my ipad.,unable to use on ipad,1
please add the mir card as a potential payment method acting.,want to have all settings,0
so there was this update and now i have no sound.,unable to hear audio after update,1
bad connection and can not pin in phone,want to share screen,0
"when downloading the app, it takes too long",sound in wireless headphones is off intermittently,0
you should like the option that you can put wallpaper on cell phone,want to hear the anthem,0
online classes are very bad.,online classes are bad,1
it keeps charge although my network is stalls.,want to login to meeting,0
very bad we can not change background view,want to change background view,1
but the app sometime have a litle bit lag when my instructor share the screen and the video.,streaming quality is bad during ipl matches,0
"the best app for video calls and online meetings, much better and easier than google meet, quite good for meetings at work and on-line social class",poor service from hotstar,0
"since then, i ass not turn on the video comfortably.",good to watch shows,0
i did not find face filters,want to find face filters,1
how can we cancel emoji package downloading?,want to stop downloading emoji package,1
very good working tool,screen sharing quality is good,0
s22 ultra does not work.,unable to use on s22 ultra,1
"because of this app, i can not communicate with people properly",want to change mic setting while drawing,0
very good working tool,good app for work,1
"since the last update, the app no longsighted works.",want to view profile picture,0
does non have some obvious features like auto switch between devices.,want to see people in breakout rooms,0
i can not refresh the zoom,want to refresh app,1
but when the internet is a little slow it takes a long time,internet is slow,1
"please my play store is non updating app any longer, please assistance",google duo is easier,0
"i appeal to the guys, the testers, tell me, well, is it really impossible to mark the sound on in the settings.",want to mark sound on settings,1
"when i checked the basic accessibility i found that there is no problem, but i could not find options for camera",want to find camera option,1
i tried more than 10 times to download but it is not getting downloaded and it is showing that can not download zoom .,want to download zoom app,1
i can not access any meeting links,want to connect using meeting url,1
anyway it helps a lot when schools shut down or quarantine back from classes,good for schools,1
top tool for conference,top tool for conferences,1
makes the app unusable.,app is not useful,1
sign in and sign process is very delay,sign in and signout process is time consuming,1
"it is slow to download, and information technology crashes many times.",unable to watch on smart tv,0
bad experience does not connect if gets connected no voice,want to connect to voice,1
the image quality is amazing!,image quality is good,1
does not work with android auto.,android auto does not work,1
but i want new movies more,app is bad and unable to load,0
I would like to be able to minis the screen while i scroll thru other apps,want to minimize the screen while scrolling through other apps,1
add background feature for some mobile,unable to change background on iphone,1
i can not access it from my tablet,want to access tablet,1
how to turn on the sound?,want to activate audio,1
"it is cool and convenient, especially on outstrip hear",want to use default sound,0
the sound is bad.,audio quality is bad,1
it is inconvenient to have reopen the app every time i try to watch a movie.,have to reinstall the app frequently to watch movies,1
nice app but remove videos option,want to record a meeting,0
please storage capacity is too declamatory,want to drop pass boxes,0
please add blurred background on android devices,want to add blurred virtual background option for android,1
video and audio are loud and clear,want to access registry,0
zomo is not convenient to do lessons in the ditsance vatsap better than zomo there,want to modify font,0
best app for watching cricket,good for watching cricket and movies,1
"the missions are difficult and confusing, you level up very slowly and you are lost all the time and the one who delivers the missions does not stop talking, the game is very bad.",game needs improvement,1
i have to close and reload the app over and over again until the sound works.,good for managing people,0
i never know what is the zoom password?,want to know password,1
please fix the moto g20 screen issues.,unable to open app in uae,0
there is a problem where i am not allowed to use zoom on mobile.,want to use mobile version,1
why could i do a twist check??,want to listen to meetings in car,0
it can not connect even with high speed net,want to connect to high speed net,1
"excellent app, merely its licenses are very expensive!",ratings are getting down,0
internet connection is not working when i open this app for a meeting .,internet connection is not working,1
guess information technology is time to detect a new sports app.,want to fix password error and invalid id issues,0
too many error codes.,facing error codes frequently,1
but it is not my connection because no other app on my phone fails,unable to connect to internet,1
very reliable means of face to face communication,good for face to face communication,1
"every movie or series i watch, i have to turn off the subtitles.",unable to turn off subtitles,1
i want to subscribe,"want to add filters, background and effects",0
video sending pauses when i do multitasking.,want to view shared screen,0
i love just i wish they would add more animes,installing a backdrop is difficult,0
it takes too long to get updated!,updating app is time consuming,1
i could not cancel the payment deoxyadenosine monophosphate schedule.,want to sign in using google,0
so many buffering issues kindly update,app has buffering issue after the update,1
love the break out rooms it allows all members to share.,want to remove profile picture,0
zoom is not working properly,want to change background on iphone,0
can not use video filter and studio effects,want to use studio effects,1
i am not able to get video,want to hear sound when sharing screen,0
it does not have dark mode,want dark mode,1
should not there be an upgrade to pro button hanging around somewhere?,want to upgrade to pro,1
the constant download of emoji packages interrupts the connection.,good for sports,0
"conferences crash every minute, sound does not work (checked all settings).",sound does not work when connecting to a conference,1
its supporting but poor networking system,poor networking system,1
it does not work on my huawei,unable to use on huawei,1
it keeps charging endlessly without ever opening,app keeps charging,1
it is very easy to join,user interface is good,0
i love hulu but the app will not show episodes of tv shows,unable to load episodes on hulu,1
the application works shockingly badly,app has many errors,1
do not pin videos when someone is sharing the screen (can not pin anyone while someone is sharing screen),want to join,0
i am render to learn live cricket,good for group exhibitions,0
the application interface is also excellent,ui/ux is good,1
please correct when you turn on orientation lock the function does not work:please fix when you turn on orientation lock the function,want to turn on orientation lock,1
can not connect to our service,want to connect to service,1
"the new window cannot be removed when the application is minimized, it ever knocks back to the conference",app crashes every 10 minutes,0
"when a link is sent, it does not let you click and follow it.",want to click on link,1
"fantastic app, moderate prices and suitable for everyone!",app is good with reasonable price,1
because i can not skip class,unable to view video on hulu,0
"not able to log in ,my account is locked",unable to use background camera,0
worst app ever seen chinese products are just made for show but not of use,poor quality of chinese products,1
", i can not use video blur , what is the process",want to use video blur,1
the application is as incomprehensible as possible and non comfortable for work.,phone calls drop all the time,0
"short performance, and always updating still in online class meetings,",app is slow with high speed internet,0
unable to download or update,good for private study,0
but they have to improve the mobile and tablet app a lot.,mobile and tablet app needs improvement,1
very bad i can not even update it worst,good for watching highlights,0
"the app is great and useful but could you add a feature where you can mute someone but for the former participants they can still hear that person, it would be very useful if information technology was added",unable to install trash app,0
the quality of the images is not good.,image quality needs improvement,1
there is no virtual background in more options and even in the settings!,no virtual background features,1
it is not worth paying the subscription for such a mediocre service,app service is bad,1
the camera function is not displayed for me.,camera is not working,1
great experience using zoom all i wanted was more new features like video background editing option in ipad,want video background editing option,1
does not open a link to viber,unable to put background image on phone,0
"absolutely slurred application, in the interface of which the devil will break a leg",app has slurred interface,1
no option to change background when using android phone,want to change background on iphone,0
i am unable to login to my zoom id even when i have logged into my gmail account,want to login with email,1
single give a star because there are sentence when the app will not let me send messages,app freezes frequently,0
unable to unlock the little camera astatine the bottom of the screen.,unable to login with mobile number,0
a great app to check on games and team stats,good for keeping up with team scores,1
i already updated it and it did not furbish up the problem.,unable to download episodes,0
so i can not go to outside meetings with my house ladys.,want to attend outside meetings,1
easy to find and install,app is easy to install,1
"wonderful app, really usefull for all age groups",good for all age groups,1
installing a backdrop is difficult,installing a backdrop is difficult,1
sometimes the screen freezes,bluetooth headset optimization is poorly done,0
i can not reactivate my account.,unable to reactivate account,1
my shows will not load.,unable to use on galaxy devices,0
he will not let me put filters,code did not pass,0
it has connectivity issues on iphone.,iphone has connectivity issues,1
accidentally disabled email authentication in the settings.,accidentally disabled email authentication in the settings,1
i think this app must be modified the camera quality because it is camera quality is literally worse in my opinion,app privacy needs improvement,0
tihs is worst app this has a lot network issue does not work well,want to attend lectures,0
videos freeze while audio still plays.,screen freezes and audio continues,1
it works fine but sometimes the zoom server crashed i leave it to be fixed please,zoom server crashes,1
"I am using it for a fee, but it is not worth the money, but the is too loud",zoom cloud meetings is user friendly,0
disappointed with the mobile version.,mobile app is bad,1
camera quality is not good .but,camera quality is bad,1
why are account settings so inaccessible?,account settings are inaccessible,1
but it has retain to bursting charge me for subscription that i thought was canceled.,want to specialize in computer science,0
best streaming service ever.,good for streaming,1
"i wish i kne w how to keep comments off my screen so i can read charts, etc.",want to remove background,0
i have been a long time hulu subscriber and my app started not working about two months ago.,unable to view video on hulu,1
but single would like it to lower IT memory at least up to 50% of memory since it is time to apps that may be,want to watch new owl house episodes,0
"this app is amazing for meeting, screen sharing and many other more things in this app.",good app for conducting online meetings and screen sharing,1
